Population Size,Mutation Rate,Generation,Best Fitness
20,0.01,1,6775.0167793011615
20,0.01,2,6775.0167793011615
20,0.01,3,7814.718284289055
20,0.01,4,7814.718284289055
20,0.01,5,7814.718284289055
20,0.01,6,7814.718284289055
20,0.01,7,7814.718284289055
20,0.01,8,7814.718284289055
20,0.01,9,7814.718284289055
20,0.01,10,7814.718284289055
20,0.01,11,7814.718284289055
20,0.01,12,7814.718284289055
20,0.01,13,7814.718284289055
20,0.01,14,7814.718284289055
20,0.01,15,7814.718284289055
20,0.01,16,7814.718284289055
20,0.01,17,7814.718284289055
20,0.01,18,7814.718284289055
20,0.01,19,7814.718284289055
20,0.01,20,7814.718284289055
20,0.01,21,7814.718284289055
20,0.01,22,7814.718284289055
20,0.01,23,7814.718284289055
20,0.01,24,7814.718284289055
20,0.01,25,7814.718284289055
20,0.01,26,7814.718284289055
20,0.01,27,7814.718284289055
20,0.01,28,7814.718284289055
20,0.01,29,7814.718284289055
20,0.01,30,7814.718284289055
20,0.05,1,6717.9395057238435
20,0.05,2,6717.9395057238435
20,0.05,3,6717.9395057238435
20,0.05,4,6717.9395057238435
20,0.05,5,7072.013908791787
20,0.05,6,7072.013908791787
20,0.05,7,7072.013908791787
20,0.05,8,7072.013908791787
20,0.05,9,7072.013908791787
20,0.05,10,7072.013908791787
20,0.05,11,7072.013908791787
20,0.05,12,7072.013908791787
20,0.05,13,7072.013908791787
20,0.05,14,7072.013908791787
20,0.05,15,7072.013908791787
20,0.05,16,7072.013908791787
20,0.05,17,7072.013908791787
20,0.05,18,7072.013908791787
20,0.05,19,7072.013908791787
20,0.05,20,7072.013908791787
20,0.05,21,7072.013908791787
20,0.05,22,7072.013908791787
20,0.05,23,7072.013908791787
20,0.05,24,7072.013908791787
20,0.05,25,7072.013908791787
20,0.05,26,7072.013908791787
20,0.05,27,7072.013908791787
20,0.05,28,7072.013908791787
20,0.05,29,7072.013908791787
20,0.05,30,7072.013908791787
20,0.1,1,4673.856411592552
20,0.1,2,7721.348763493297
20,0.1,3,7721.348763493297
20,0.1,4,7721.348763493297
20,0.1,5,7721.348763493297
20,0.1,6,7721.348763493297
20,0.1,7,7721.348763493297
20,0.1,8,7721.348763493297
20,0.1,9,7721.348763493297
20,0.1,10,7721.348763493297
20,0.1,11,7721.348763493297
20,0.1,12,7721.348763493297
20,0.1,13,7721.348763493297
20,0.1,14,7721.348763493297
20,0.1,15,7721.348763493297
20,0.1,16,7721.348763493297
20,0.1,17,7721.348763493297
20,0.1,18,7721.348763493297
20,0.1,19,7721.348763493297
20,0.1,20,7721.348763493297
20,0.1,21,7721.348763493297
20,0.1,22,7721.348763493297
20,0.1,23,7721.348763493297
20,0.1,24,7721.348763493297
20,0.1,25,7721.348763493297
20,0.1,26,7721.348763493297
20,0.1,27,7721.348763493297
20,0.1,28,7721.348763493297
20,0.1,29,7721.348763493297
20,0.1,30,7721.348763493297
50,0.01,1,6744.439569415857
50,0.01,2,7773.371482044108
50,0.01,3,7773.371482044108
50,0.01,4,7773.371482044108
50,0.01,5,7773.371482044108
50,0.01,6,7773.371482044108
50,0.01,7,7773.371482044108
50,0.01,8,7773.371482044108
50,0.01,9,7773.371482044108
50,0.01,10,7773.371482044108
50,0.01,11,7773.371482044108
50,0.01,12,7773.371482044108
50,0.01,13,7773.371482044108
50,0.01,14,7773.371482044108
50,0.01,15,7773.371482044108
50,0.01,16,7773.371482044108
50,0.01,17,7773.371482044108
50,0.01,18,7773.371482044108
50,0.01,19,7773.371482044108
50,0.01,20,7773.371482044108
50,0.01,21,7773.371482044108
50,0.01,22,7773.371482044108
50,0.01,23,7773.371482044108
50,0.01,24,7773.371482044108
50,0.01,25,7773.371482044108
50,0.01,26,7773.371482044108
50,0.01,27,7773.371482044108
50,0.01,28,7773.371482044108
50,0.01,29,7773.371482044108
50,0.01,30,7773.371482044108
50,0.05,1,6763.289366827725
50,0.05,2,6763.289366827725
50,0.05,3,7758.545972835129
50,0.05,4,7758.545972835129
50,0.05,5,7758.545972835129
50,0.05,6,7758.545972835129
50,0.05,7,7758.545972835129
50,0.05,8,7758.545972835129
50,0.05,9,7758.545972835129
50,0.05,10,7758.545972835129
50,0.05,11,7758.545972835129
50,0.05,12,7758.545972835129
50,0.05,13,7758.545972835129
50,0.05,14,7758.545972835129
50,0.05,15,7758.545972835129
50,0.05,16,7758.545972835129
50,0.05,17,7758.545972835129
50,0.05,18,7758.545972835129
50,0.05,19,7758.545972835129
50,0.05,20,7758.545972835129
50,0.05,21,7758.545972835129
50,0.05,22,7758.545972835129
50,0.05,23,7758.545972835129
50,0.05,24,7758.545972835129
50,0.05,25,7758.545972835129
50,0.05,26,7758.545972835129
50,0.05,27,7758.545972835129
50,0.05,28,7758.545972835129
50,0.05,29,7758.545972835129
50,0.05,30,7758.545972835129
50,0.1,1,6760.917284800929
50,0.1,2,7804.833932192945
50,0.1,3,7804.833932192945
50,0.1,4,7804.833932192945
50,0.1,5,7804.833932192945
50,0.1,6,7804.833932192945
50,0.1,7,7804.833932192945
50,0.1,8,7804.833932192945
50,0.1,9,7804.833932192945
50,0.1,10,7804.833932192945
50,0.1,11,7804.833932192945
50,0.1,12,7804.833932192945
50,0.1,13,7804.833932192945
50,0.1,14,7804.833932192945
50,0.1,15,7804.833932192945
50,0.1,16,7804.833932192945
50,0.1,17,7804.833932192945
50,0.1,18,7804.833932192945
50,0.1,19,7804.833932192945
50,0.1,20,7804.833932192945
50,0.1,21,7804.833932192945
50,0.1,22,7804.833932192945
50,0.1,23,7804.833932192945
50,0.1,24,7804.833932192945
50,0.1,25,7804.833932192945
50,0.1,26,7804.833932192945
50,0.1,27,7804.833932192945
50,0.1,28,7804.833932192945
50,0.1,29,7804.833932192945
50,0.1,30,7804.833932192945
100,0.01,1,7821.761099613474
100,0.01,2,7821.761099613474
100,0.01,3,7821.761099613474
100,0.01,4,7821.761099613474
100,0.01,5,7821.761099613474
100,0.01,6,7821.761099613474
100,0.01,7,7821.761099613474
100,0.01,8,7821.761099613474
100,0.01,9,7821.761099613474
100,0.01,10,7821.761099613474
100,0.01,11,7821.761099613474
100,0.01,12,7821.761099613474
100,0.01,13,7821.761099613474
100,0.01,14,7821.761099613474
100,0.01,15,7821.761099613474
100,0.01,16,7821.761099613474
100,0.01,17,7821.761099613474
100,0.01,18,7821.761099613474
100,0.01,19,7821.761099613474
100,0.01,20,7821.761099613474
100,0.01,21,7821.761099613474
100,0.01,22,7821.761099613474
100,0.01,23,7821.761099613474
100,0.01,24,7821.761099613474
100,0.01,25,7821.761099613474
100,0.01,26,7821.761099613474
100,0.01,27,7821.761099613474
100,0.01,28,7821.761099613474
100,0.01,29,7821.761099613474
100,0.01,30,7821.761099613474
100,0.05,1,6730.728540456272
100,0.05,2,6730.728540456272
100,0.05,3,6730.728540456272
100,0.05,4,6730.728540456272
100,0.05,5,6730.728540456272
100,0.05,6,6730.728540456272
100,0.05,7,6730.728540456272
100,0.05,8,6730.728540456272
100,0.05,9,6730.728540456272
100,0.05,10,6730.728540456272
100,0.05,11,6730.728540456272
100,0.05,12,6730.728540456272
100,0.05,13,6730.728540456272
100,0.05,14,6730.728540456272
100,0.05,15,6730.728540456272
100,0.05,16,6730.728540456272
100,0.05,17,6730.728540456272
100,0.05,18,6730.728540456272
100,0.05,19,6730.728540456272
100,0.05,20,6730.728540456272
100,0.05,21,6730.728540456272
100,0.05,22,6730.728540456272
100,0.05,23,6730.728540456272
100,0.05,24,6730.728540456272
100,0.05,25,6730.728540456272
100,0.05,26,6730.728540456272
100,0.05,27,6730.728540456272
100,0.05,28,6730.728540456272
100,0.05,29,6730.728540456272
100,0.05,30,6730.728540456272
100,0.1,1,6766.214282524691
100,0.1,2,7094.91412505454
100,0.1,3,7094.91412505454
100,0.1,4,7094.91412505454
100,0.1,5,7094.91412505454
100,0.1,6,7094.91412505454
100,0.1,7,7094.91412505454
100,0.1,8,7094.91412505454
100,0.1,9,7094.91412505454
100,0.1,10,7094.91412505454
100,0.1,11,7094.91412505454
100,0.1,12,7094.91412505454
100,0.1,13,7094.91412505454
100,0.1,14,7094.91412505454
100,0.1,15,7094.91412505454
100,0.1,16,7094.91412505454
100,0.1,17,7094.91412505454
